sample;annotation
белорчука морков;[[0, 9, 'B-BRAND'], [10, 16, 'B-TYPE']]
белочак водк;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
белочак водка;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
белорочка;[[0, 9, 'B-BRAND']]
белый хлеб щелковсский;[[0, 5, 'B-TYPE'], [6, 10, 'I-TYPE'], [11, 22, 'B-BRAND']]
беирнг шпр;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
беирнг шпро;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
ерн;[[0, 3, 'B-BRAND']]
иг бон;[[0, 2, 'B-BRAND'], [3, 6, 'I-BRAND']]
иг бон аоа;[[0, 2, 'B-BRAND'], [3, 6, 'I-BRAND'], [7, 10, 'O']]
илакт;[[0, 5, 'B-BRAND']]
биллак;[[0, 6, 'B-BRAND']]
ббио картофе;[[0, 4, 'B-BRAND'], [5, 12, 'B-TYPE']]
билоа;[[0, 5, 'B-BRAND']]
биодак;[[0, 6, 'B-BRAND']]
бисоокс бюстгальте;[[0, 7, 'B-BRAND'], [8, 18, 'B-TYPE']]
бисоокс бюстгальтер;[[0, 7, 'B-BRAND'], [8, 19, 'B-TYPE']]
бфиидок;[[0, 7, 'B-BRAND']]
бифиил;[[0, 6, 'B-BRAND']]
благяр;[[0, 6, 'B-BRAND']]
блинчик миртиа;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
блинчик мириьаль;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
блинчик сызка;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
блинчик сызрна;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
блокнот ээкс;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
блокнот экмс;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
блокнотов berin;[[0, 9, 'B-TYPE'], [10, 15, 'B-BRAND']]
блокнотов beerling;[[0, 9, 'B-TYPE'], [10, 18, 'B-BRAND']]
блокнотов smma;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
блокнотов ахтб;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
блокнотов хатебр;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND']]
блокнотов ээкс;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
блокнотов экмс;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
блокнотов эксо;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
блокноты cnetr;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
блокноты ecntru;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
блокноты прф-пре;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
блокноты проф-пкес;[[0, 8, 'B-TYPE'], [9, 18, 'B-BRAND']]
блузка lemonn;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
блузки каи;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
бме варено-копчен;[[0, 3, 'B-BRAND'], [4, 17, 'B-TYPE']]
бме варено-копчены;[[0, 3, 'B-BRAND'], [4, 18, 'B-TYPE']]
богваша;[[0, 7, 'B-BRAND']]
бгоемия;[[0, 7, 'B-BRAND']]
богучакские;[[0, 11, 'B-BRAND']]
больешмясов сырокопчено;[[0, 11, 'B-BRAND'], [12, 23, 'B-TYPE']]
больешмясов сырокопченое;[[0, 11, 'B-BRAND'], [12, 24, 'B-TYPE']]
бомббар;[[0, 7, 'B-BRAND']]
блн пари;[[0, 3, 'B-BRAND'], [4, 8, 'I-BRAND']]
бонна;[[0, 5, 'B-BRAND']]
бонап;[[0, 5, 'B-BRAND']]
бокдоми;[[0, 7, 'B-BRAND']]
боржомии;[[0, 8, 'B-BRAND']]
боржомии в стекле;[[0, 8, 'B-BRAND'], [9, 10, 'O'], [11, 17, 'O']]
бородиан;[[0, 8, 'B-BRAND']]
борыкая;[[0, 7, 'B-BRAND']]
ботинки geeze;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
ботинки gezerr;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
ботинки luckylla;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
баво;[[0, 4, 'B-BRAND']]
бреморр;[[0, 7, 'B-BRAND']]
бренди garrli;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
бренди tor;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
бренди torrre;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
бренди астт;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бренди асмс;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бренди самс;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бренди саамсон;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
брест-литовык ке;[[0, 13, 'B-BRAND'], [14, 16, 'B-TYPE']]
брест-литовык кеф;[[0, 13, 'B-BRAND'], [14, 17, 'B-TYPE']]
брие;[[0, 4, 'B-BRAND']]
бртв;[[0, 4, 'B-BRAND']]
бритва beuatif;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бритва beauitfic;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
бритва ex;[[0, 6, 'B-TYPE'], [7, 9, 'B-BRAND']]
бритва gilet;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
бритье addia;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
бритье addidas;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бритья beuatif;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бритья beauifi;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бритья ex;[[0, 6, 'B-TYPE'], [7, 9, 'B-BRAND']]
бруин;[[0, 5, 'B-BRAND']]
брынза presidde;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
брынза prsiden;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
брынза умаал;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
брянонфи;[[0, 8, 'B-BRAND']]
бублик тару;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бублик ибхл;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бублик сибхде;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
бублик исбхлеб;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бублики аьр;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
бублики тару;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
бублики исбхлеб;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
булочка аьр;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
булочки аванагр;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
булочки етрохл;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
булочки петкохле;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
булочки петтрохлеб;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
булочки си;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND']]
булочки итн;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
булочки ситноо;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
булочное бл;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
булочное було;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
булочное влахл;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
булочные котовскхлл;[[0, 8, 'B-TYPE'], [9, 19, 'B-BRAND']]
булочные котлвскхле;[[0, 8, 'B-TYPE'], [9, 19, 'B-BRAND']]
булочные еотовскхлеб;[[0, 8, 'B-TYPE'], [9, 20, 'B-BRAND']]
бумаг кляка-маля;[[0, 5, 'B-TYPE'], [6, 16, 'B-BRAND']]
бумаг каляяка-маляка;[[0, 5, 'B-TYPE'], [6, 20, 'B-BRAND']]
бумага koopmna;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бумага impo;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бумага limmpop;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бумага ssmob;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
бумага р-серви;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
бумага рф-серис;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
бумага смл;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
бумага смбо;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
бумага смбои;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
бумаги ttach;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
букатта;[[0, 7, 'B-BRAND']]
убрге;[[0, 5, 'B-BRAND']]
бургу;[[0, 5, 'B-BRAND']]
бунэо;[[0, 5, 'B-BRAND']]
бытплат т;[[0, 7, 'B-BRAND'], [8, 9, 'B-TYPE']]
бытплат таз;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
бэрэкэте айр;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
бэрэкэте айра;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
бюстгальтер ooms;[[0, 11, 'B-TYPE'], [12, 16, 'B-BRAND']]
бюстгальтер verry;[[0, 11, 'B-TYPE'], [12, 17, 'B-BRAND']]
бюстгальтер комф;[[0, 11, 'B-TYPE'], [12, 16, 'B-BRAND']]
бюстгальтер кмац;[[0, 11, 'B-TYPE'], [12, 16, 'B-BRAND']]
бюстгальтер кмоацо;[[0, 11, 'B-TYPE'], [12, 18, 'B-BRAND']]
бюстгальтер милав;[[0, 11, 'B-TYPE'], [12, 17, 'B-BRAND']]
бюстгальтера burleesc;[[0, 12, 'B-TYPE'], [13, 21, 'B-BRAND']]
бюстгальтера elad;[[0, 12, 'B-TYPE'], [13, 17, 'B-BRAND']]
ваин;[[0, 4, 'B-BRAND']]
ваин капус;[[0, 4, 'B-BRAND'], [5, 10, 'B-TYPE']]
ванеллин;[[0, 8, 'B-BRAND']]
ванили sonnet;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
ванили sonento;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
ванили айи;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
ванили паф;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
ванили парэф;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
ванили проиводст;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
ванилин тапе;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
ванилин траепз;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
ванилин ртапеза;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
ваниль айи;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
ваниль аййдиг;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
ваниль прозводств;[[0, 6, 'B-TYPE'], [7, 17, 'B-BRAND']]
ваниль производсво;[[0, 6, 'B-TYPE'], [7, 18, 'B-BRAND']]
ванильный dr.oek;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND']]
ванильный паф;[[0, 9, 'B-TYPE'], [10, 13, 'B-BRAND']]
ванильный парэф;[[0, 9, 'B-TYPE'], [10, 15, 'B-BRAND']]
ванильный ресток;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND']]
ванильный рестоир;[[0, 9, 'B-TYPE'], [10, 17, 'B-BRAND']]
ванильный рестокия;[[0, 9, 'B-TYPE'], [10, 18, 'B-BRAND']]
ванильный с..пудовъ;[[0, 9, 'B-TYPE'], [10, 19, 'B-BRAND']]
варен. ummk;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
варен. дделик;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
вареная колбаса вязанкка;[[0, 7, 'B-TYPE'], [8, 15, 'I-TYPE'], [16, 24, 'B-BRAND']]
варенец остакинск;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
варенец останкиннски;[[0, 7, 'B-TYPE'], [8, 20, 'B-BRAND']]
варенец пестраав;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
варенец ппестравк;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
варенец пестравк;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
вареники tallos;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
вареники одрони;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
вареники дооронич;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
вареники дорониичи;[[0, 8, 'B-TYPE'], [9, 18, 'B-BRAND']]
вареники сыты папа;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND'], [14, 18, 'I-BRAND']]
варенная череаш;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
варенная черкашш;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
варенная ечркашин;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
варено-копченая скф;[[0, 15, 'B-TYPE'], [16, 19, 'B-BRAND']]
варено-копченое сызрнаь;[[0, 15, 'B-TYPE'], [16, 23, 'B-BRAND']]
варено-копченые cherkiz;[[0, 15, 'B-TYPE'], [16, 23, 'B-BRAND']]
варено-копченые cherkizoov;[[0, 15, 'B-TYPE'], [16, 26, 'B-BRAND']]
варено-копченые коровни;[[0, 15, 'B-TYPE'], [16, 23, 'B-BRAND']]
варено-копченые коровион;[[0, 15, 'B-TYPE'], [16, 24, 'B-BRAND']]
варено-копченые унир;[[0, 15, 'B-TYPE'], [16, 20, 'B-BRAND']]
варено-копченые унпиро;[[0, 15, 'B-TYPE'], [16, 22, 'B-BRAND']]
вареный атяшше;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
вареный атяешв;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
варенье greeeno;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
варенье greenla;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
варенье аабрик;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
варенье абрко;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
варенье экопрову;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
варенье эклпродук;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
варенье экпородукт;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
всаилеостровское медову;[[0, 16, 'B-BRAND'], [17, 23, 'B-TYPE']]
всаилеостровское медовуха;[[0, 16, 'B-BRAND'], [17, 25, 'B-TYPE']]
вастээко завтрак;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
вастээко завтраки;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
вафли роь фронт;[[0, 5, 'B-TYPE'], [6, 9, 'B-BRAND'], [10, 15, 'I-BRAND']]
вафли шаарлиз голландские;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND'], [14, 25, 'I-BRAND']]
вафли яшкион;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
вегеета;[[0, 7, 'B-BRAND']]
вуктор дома;[[0, 6, 'B-BRAND'], [7, 11, 'O']]
вулес;[[0, 5, 'B-BRAND']]
вулес заливн;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
велкмо зель;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
велкмо зельц;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
велел му;[[0, 5, 'B-BRAND'], [6, 8, 'B-TYPE']]
велел мусс;[[0, 5, 'B-BRAND'], [6, 10, 'B-TYPE']]
веелмит;[[0, 7, 'B-BRAND']]
вермут marit;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
вермут amrtin;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
вермут эксь;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
вермут эксттр;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
вермуты marit;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
вермуты amrtin;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
вермуты эксь;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
вермуты эксттр;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
вермуты экста;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
верон;[[0, 5, 'B-BRAND']]
ветчина casademn;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
ветчина царь-мяос;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
викктория;[[0, 9, 'B-BRAND']]
вилка дн;[[0, 5, 'B-TYPE'], [6, 8, 'B-BRAND']]
вилка днюи;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
вилка перкресто;[[0, 5, 'B-TYPE'], [6, 15, 'B-BRAND']]
вилка перекрусток;[[0, 5, 'B-TYPE'], [6, 17, 'B-BRAND']]
вилки pcala;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
вилки прс!;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
винные ammo;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
винный ammo;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
винный miixb;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
винный mibxa;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
винный ариф;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
винный риан;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
виноград елчо;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
виноград елочкк;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
ви;[[0, 2, 'B-BRAND']]
висеа;[[0, 5, 'B-BRAND']]
висскас;[[0, 7, 'B-BRAND']]
виски udnhi;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
виски dunnhil;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
виски udnhill;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
виски ххор;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
виталэд олив;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
виталэд оливки;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
витеббский;[[0, 10, 'B-BRAND']]
виетк;[[0, 5, 'B-BRAND']]
вичени трубоч;[[0, 6, 'B-BRAND'], [7, 13, 'B-TYPE']]
вичени трубочк;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
вишни кус&польз;[[0, 5, 'B-TYPE'], [6, 15, 'B-BRAND']]
вишни вкус&полльза;[[0, 5, 'B-TYPE'], [6, 18, 'B-BRAND']]
вишни амрк;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
вишня вкуы&поль;[[0, 5, 'B-TYPE'], [6, 15, 'B-BRAND']]
вишня кус&польз;[[0, 5, 'B-TYPE'], [6, 15, 'B-BRAND']]
вишня вкус&полльза;[[0, 5, 'B-TYPE'], [6, 18, 'B-BRAND']]
вишня моорзк;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
вишня морозо;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
вку & польза;[[0, 3, 'B-BRAND'], [4, 5, 'I-BRAND'], [6, 12, 'I-BRAND']]
вксунотеево ультрапастеризованн;[[0, 11, 'B-BRAND'], [12, 31, 'B-TYPE']]
вксунотеево ультрапастеризованно;[[0, 11, 'B-BRAND'], [12, 32, 'B-TYPE']]
владхеб;[[0, 7, 'B-BRAND']]
влажный корм feliix;[[0, 7, 'B-TYPE'], [8, 12, 'I-TYPE'], [13, 19, 'B-BRAND']]
влажный корм ркасная;[[0, 7, 'B-TYPE'], [8, 12, 'I-TYPE'], [13, 20, 'B-BRAND']]
вода 5л ркасная цена;[[0, 4, 'B-TYPE'], [5, 7, 'B-VOLUME'], [8, 15, 'B-BRAND'], [16, 20, 'I-BRAND']]
вода socitee minerale;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND'], [13, 21, 'I-BRAND']]
вода газированная карфчинская;[[0, 4, 'B-TYPE'], [5, 17, 'I-TYPE'], [18, 29, 'B-BRAND']]
вода детская фрутонняня;[[0, 4, 'B-TYPE'], [5, 12, 'O'], [13, 23, 'B-BRAND']]
вода заповединк здоровья;[[0, 4, 'B-TYPE'], [5, 15, 'B-BRAND'], [16, 24, 'I-BRAND']]
вода лимон источнки;[[0, 4, 'B-TYPE'], [5, 10, 'I-TYPE'], [11, 19, 'B-BRAND']]
вода маайская хрустальная;[[0, 4, 'B-TYPE'], [5, 13, 'B-BRAND'], [14, 25, 'I-BRAND']]
вода питьевая свяьой;[[0, 4, 'B-TYPE'], [5, 13, 'I-TYPE'], [14, 20, 'B-BRAND']]
вода питьевая чернооголовка;[[0, 4, 'B-TYPE'], [5, 13, 'I-TYPE'], [14, 27, 'B-BRAND']]
вода псж;[[0, 4, 'B-TYPE'], [5, 8, 'B-BRAND']]
вода раиффский источник;[[0, 4, 'B-TYPE'], [5, 14, 'B-BRAND'], [15, 23, 'I-BRAND']]
вода кычал су;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND'], [11, 13, 'I-BRAND']]
вода саятй источник;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND'], [11, 19, 'I-BRAND']]
вода свяьой;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
вода святой источнки со вкусом;[[0, 4, 'B-TYPE'], [5, 11, 'O'], [12, 20, 'B-BRAND'], [21, 23, 'O'], [24, 30, 'O']]
вода сеежская;[[0, 4, 'B-TYPE'], [5, 13, 'B-BRAND']]
вода ечрноголовк;[[0, 4, 'B-TYPE'], [5, 16, 'B-BRAND']]
вода чернооголовка;[[0, 4, 'B-TYPE'], [5, 18, 'B-BRAND']]
вода ишкин;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
вода ишкин лес;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND'], [11, 14, 'I-BRAND']]
водка aafnasi;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
водка icee;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
водка окло;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
водка коло;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
водка оилм;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
водка слооб;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
водка лсобода;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
вола фрруто няня;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND'], [12, 16, 'I-BRAND']]
волжана;[[0, 7, 'B-BRAND']]
волжаочка варен;[[0, 9, 'B-BRAND'], [10, 15, 'B-TYPE']]
волжаочка варене;[[0, 9, 'B-BRAND'], [10, 16, 'B-TYPE']]
вологжанак;[[0, 10, 'B-BRAND']]
вологодскоу;[[0, 11, 'B-BRAND']]
воск aslt;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
воск salot;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
востчоный шпи;[[0, 9, 'B-BRAND'], [10, 13, 'B-TYPE']]
восхо лав;[[0, 5, 'B-BRAND'], [6, 9, 'B-TYPE']]
восхо лава;[[0, 5, 'B-BRAND'], [6, 10, 'B-TYPE']]
всесдав баран;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
всесдав баранка;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
выпечка золотйо колос;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 21, 'I-BRAND']]
вяленая натил;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
вяленая наутиул;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
вяленая таутилус;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
вяленная дифа;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
вяленое натил;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
вяленое наутиул;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
вяленое таутилус;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
вяленый окае;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
вяленый окуан;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
вяич тебе;[[0, 4, 'B-BRAND'], [5, 9, 'O']]
вятсский;[[0, 8, 'B-BRAND']]
агвари ботин;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
агвари ботинк;[[0, 6, 'B-BRAND'], [7, 13, 'B-TYPE']]
газ rroy;[[0, 3, 'B-TYPE'], [4, 8, 'B-BRAND']]
газ orya;[[0, 3, 'B-TYPE'], [4, 8, 'B-BRAND']]
газировка fflesh bar;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND'], [17, 20, 'I-BRAND']]
гла;[[0, 3, 'B-BRAND']]
галлант зон;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
галлант зонт;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
галеты вселс;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
галеты всесал;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
галеты здр;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
галеты зддрав;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
галеты драва;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
галеты зрни;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
галеты зернииц;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
галеты езрница;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
галстук maestrr;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
галстуки абоч;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
галстуки бфбочка;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
гамак otr;[[0, 5, 'B-TYPE'], [6, 9, 'B-BRAND']]
гамак osstro;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
гамак pallis;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
гамаки pallis;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
гамаки pallisad;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
грибальди;[[0, 9, 'B-BRAND']]
грибальди соси;[[0, 9, 'B-BRAND'], [10, 14, 'B-TYPE']]
гаррнец му;[[0, 7, 'B-BRAND'], [8, 10, 'B-TYPE']]
гаррнец мук;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
гаув;[[0, 4, 'B-BRAND']]
еглиос-м варено-копчен;[[0, 8, 'B-BRAND'], [9, 22, 'B-TYPE']]
